--- Page 28 ---
1| Character: 'ç' | Code: 231 | Mapped: 'ח'
113| Character: 'È' | Code: 200 | Mapped: 'י'
114| Character: '‰' | Code: 8240 | Mapped: 'ה'
115| Character: 'Â' | Code: 194 | Mapped: 'ו'
116| Character: ' ' | Code: 32 | Mapped: ' '
117| Character: '.' | Code: 46 | Mapped: '.'
118| Character: 'ı' | Code: 305 | Mapped: 'ץ'
119| Character: '¯' | Code: 175 | Mapped: 'ר'
120| Character: '‡' | Code: 8225 | Mapped: 'א'
121| Character: '‰' | Code: 8240 | Mapped: 'ה'
122| Character: ' ' | Code: 32 | Mapped: ' '
123| Character: '˙' | Code: 729 | Mapped: 'ת'
124| Character: '‡' | Code: 8225 | Mapped: 'א'
125| Character: 'Â' | Code: 194 | Mapped: 'ו'
126| Character: ' ' | Code: 32 | Mapped: ' '
127| Character: 'Ì' | Code: 204 | Mapped: 'ם'
128| Character: 'È' | Code: 200 | Mapped: 'י'
129| Character: 'Ó' | Code: 211 | Mapped: 'מ'
130| Character: '˘' | Code: 728 | Mapped: 'ש'
131| Character: '‰' | Code: 8240 | Mapped: 'ה'
132| Character: ' ' | Code: 32 | Mapped: ' '
133| Character: '˙' | Code: 729 | Mapped: 'ת'
134| Character: '‡' | Code: 8225 | Mapped: 'א'
135| Character: '\n' | Code: 10 | Mapped: '\n'
136| Character: 'Ì' | Code: 204 | Mapped: 'ם'
137| Character: 'Â' | Code: 194 | Mapped: 'ו'
138| Character: '˜' | Code: 732 | Mapped: 'ק'
139| Character: 'Ó' | Code: 211 | Mapped: 'מ'
140| Character: ' ' | Code: 32 | Mapped: ' '
141| Character: '˙' | Code: 729 | Mapped: 'ת'
142| Character: '\uf8ff' | Code: 63743 | Mapped: 'נ'
143| Character: 'È' | Code: 200 | Mapped: 'י'
144| Character: '˙' | Code: 729 | Mapped: 'ת'
145| Character: '\uf8ff' | Code: 63743 | Mapped: 'נ'
146| Character: '\n' | Code: 10 | Mapped: '\n'
147| Character: 'Ó' | Code: 211 | Mapped: 'מ'
148| Character: '˘' | Code: 728 | Mapped: 'ש'
149| Character: ' ' | Code: 32 | Mapped: ' '
150| Character: '‡' | Code: 8225 | Mapped: 'א'
151| Character: 'È' | Code: 200 | Mapped: 'י'
152| Character: '‰' | Code: 8240 | Mapped: 'ה'
153| Character: ' ' | Code: 32 | Mapped: ' '
154| Character: '˙' | Code: 729 | Mapped: 'ת'
155| Character: 'Ó' | Code: 211 | Mapped: 'מ'
156| Character: '‡' | Code: 8225 | Mapped: 'א'
157| Character: '‰' | Code: 8240 | Mapped: 'ה'
158| Character: ' ' | Code: 32 | Mapped: ' '
159| Character: 'Ï' | Code: 207 | Mapped: 'ל'
160| Character: '·' | Code: 183 | Mapped: 'ב'
161| Character: '‡' | Code: 8225 | Mapped: 'א'
162| Character: ' ' | Code: 32 | Mapped: ' '
163| Character: ',' | Code: 44 | Mapped: ','
164| Character: "'" | Code: 39 | Mapped: "'"
165| Character: 'Â' | Code: 194 | Mapped: 'ו'
166| Character: 'Î' | Code: 206 | Mapped: 'כ'
167| Character: ' ' | Code: 32 | Mapped: ' '
168| Character: 'Ì' | Code: 204 | Mapped: 'ם'
169| Character: 'È' | Code: 200 | Mapped: 'י'
170| Character: '\uf8ff' | Code: 63743 | Mapped: 'נ'
171| Character: 'È' | Code: 200 | Mapped: 'י'
172| Character: 'Ú' | Code: 218 | Mapped: 'ע'
173| Character: ' ' | Code: 32 | Mapped: ' '
174| Character: '˙' | Code: 729 | Mapped: 'ת'
175| Character: 'Ê' | Code: 202 | Mapped: 'ז'
176| Character: 'È' | Code: 200 | Mapped: 'י'
177| Character: 'Á' | Code: 193 | Mapped: 'ח'
178| Character: '‡' | Code: 8225 | Mapped: 'א'
179| Character: ' ' | Code: 32 | Mapped: ' '
180| Character: 'Ï' | Code: 207 | Mapped: 'ל'
181| Character: '˘' | Code: 728 | Mapped: 'ש'
182| Character: ' ' | Code: 32 | Mapped: ' '
183| Character: 'Ô' | Code: 212 | Mapped: 'ן'
184| Character: 'È' | Code: 200 | Mapped: 'י'
185| Character: '\uf8ff' | Code: 63743 | Mapped: 'נ'
186| Character: 'Ú' | Code: 218 | Mapped: 'ע'
187| Character: 'Ï' | Code: 207 | Mapped: 'ל'
188| Character: ' ' | Code: 32 | Mapped: ' '
189| Character: '\n' | Code: 10 | Mapped: '\n'
190| Character: 'Ï' | Code: 207 | Mapped: 'ל'
191| Character: 'Î' | Code: 206 | Mapped: 'כ'
192| Character: '‰' | Code: 8240 | Mapped: 'ה'
193| Character: ' ' | Code: 32 | Mapped: ' '
194| Character: '˙' | Code: 729 | Mapped: 'ת'
195| Character: 'Â' | Code: 194 | Mapped: 'ו'
196| Character: '‡' | Code: 8225 | Mapped: 'א'
197| Character: 'È' | Code: 200 | Mapped: 'י'
198| Character: 'ˆ' | Code: 710 | Mapped: 'צ'
199| Character: '\n' | Code: 10 | Mapped: '\n'
200| Character: "'" | Code: 39 | Mapped: "'"
201| Character: 'È' | Code: 200 | Mapped: 'י'
202| Character: 'Â' | Code: 194 | Mapped: 'ו'
203| Character: '‰' | Code: 8240 | Mapped: 'ה'
204| Character: ' ' | Code: 32 | Mapped: ' '
205| Character: 'Ì' | Code: 204 | Mapped: 'ם'
206| Character: 'È' | Code: 200 | Mapped: 'י'
207| Character: 'Ï' | Code: 207 | Mapped: 'ל'
208| Character: '‡' | Code: 8225 | Mapped: 'א'
209| Character: '·' | Code: 183 | Mapped: 'ב'
210| Character: ' ' | Code: 32 | Mapped: ' '
211| Character: '‰' | Code: 8240 | Mapped: 'ה'
212| Character: 'Î' | Code: 206 | Mapped: 'כ'
213| Character: 'Â' | Code: 194 | Mapped: 'ו'
214| Character: 'Ó' | Code: 211 | Mapped: 'מ'
215| Character: 'Î' | Code: 206 | Mapped: 'כ'
216| Character: ' ' | Code: 32 | Mapped: ' '
217| Character: 'È' | Code: 200 | Mapped: 'י'
218| Character: 'Ó' | Code: 211 | Mapped: 'מ'
219| Character: ' ' | Code: 32 | Mapped: ' '
220| Character: ',' | Code: 44 | Mapped: ','
221| Character: '˙' | Code: 729 | Mapped: 'ת'
222| Character: 'È' | Code: 200 | Mapped: 'י'
223| Character: '˙' | Code: 729 | Mapped: 'ת'
224| Character: 'È' | Code: 200 | Mapped: 'י'
225| Character: 'Ó' | Code: 211 | Mapped: 'מ'
226| Character: '‡' | Code: 8225 | Mapped: 'א'
227| Character: '‰' | Code: 8240 | Mapped: 'ה'
228| Character: ' ' | Code: 32 | Mapped: ' '
229| Character: '˙' | Code: 729 | Mapped: 'ת'
230| Character: 'Â' | Code: 194 | Mapped: 'ו'
231| Character: '‡' | Code: 8225 | Mapped: 'א'
232| Character: 'È' | Code: 200 | Mapped: 'י'
233| Character: 'ˆ' | Code: 710 | Mapped: 'צ'
234| Character: 'Ó' | Code: 211 | Mapped: 'מ'
235| Character: '‰' | Code: 8240 | Mapped: 'ה'
236| Character: ' ' | Code: 32 | Mapped: ' '
237| Character: '‡' | Code: 8225 | Mapped: 'א'
238| Character: 'È' | Code: 200 | Mapped: 'י'
239| Character: '‰' | Code: 8240 | Mapped: 'ה'
240| Character: '\n' | Code: 10 | Mapped: '\n'
241| Character: '5' | Code: 53 | Mapped: '5'
242| Character: '8' | Code: 56 | Mapped: '8'
243| Character: '\n' | Code: 10 | Mapped: '\n'
244| Character: 'Â' | Code: 194 | Mapped: 'ו'
245| Character: '„' | Code: 8222 | Mapped: 'ד'
246| Character: '·' | Code: 183 | Mapped: 'ב'
247| Character: 'Ï' | Code: 207 | Mapped: 'ל'
248| Character: 'Ó' | Code: 211 | Mapped: 'מ'
249| Character: ' ' | Code: 32 | Mapped: ' '
250| Character: '„' | Code: 8222 | Mapped: 'ד'
251| Character: 'Â' | Code: 194 | Mapped: 'ו'
252| Character: 'Ú' | Code: 218 | Mapped: 'ע'
253| Character: ' ' | Code: 32 | Mapped: ' '
254| Character: 'Ô' | Code: 212 | Mapped: 'ן'
255| Character: 'È' | Code: 200 | Mapped: 'י'
256| Character: '‡' | Code: 8225 | Mapped: 'א'
257| Character: '„' | Code: 8222 | Mapped: 'ד'
258| Character: ' ' | Code: 32 | Mapped: ' '
259| Character: ',' | Code: 44 | Mapped: ','
260| Character: '\n' | Code: 10 | Mapped: '\n'
261| Character: '5' | Code: 53 | Mapped: '5'
262| Character: '9' | Code: 57 | Mapped: '9'
263| Character: '.' | Code: 46 | Mapped: '.'
264| Character: '\n' | Code: 10 | Mapped: '\n'
265| Character: ' ' | Code: 32 | Mapped: ' '
266| Character: '˜' | Code: 732 | Mapped: 'ק'
267| Character: '"' | Code: 34 | Mapped: '"'
268| Character: 'Î' | Code: 206 | Mapped: 'כ'
269| Character: ' ' | Code: 32 | Mapped: ' '
270| Character: '¯' | Code: 175 | Mapped: 'ר'
271| Character: '‡' | Code: 8225 | Mapped: 'א'
272| Character: '·' | Code: 183 | Mapped: 'ב'
273| Character: 'Ó' | Code: 211 | Mapped: 'מ'
274| Character: ' ' | Code: 32 | Mapped: ' '
275| Character: '‰' | Code: 8240 | Mapped: 'ה'
276| Character: 'Ê' | Code: 202 | Mapped: 'ז'
277| Character: '·' | Code: 183 | Mapped: 'ב'
278| Character: 'Â' | Code: 194 | Mapped: 'ו'
279| Character: '\n' | Code: 10 | Mapped: '\n'
280| Character: 'Ô' | Code: 212 | Mapped: 'ן'
281| Character: 'Â' | Code: 194 | Mapped: 'ו'
282| Character: '˙' | Code: 729 | Mapped: 'ת'
283| Character: 'Á' | Code: 193 | Mapped: 'ח'
284| Character: '˙' | Code: 729 | Mapped: 'ת'
285| Character: '‰' | Code: 8240 | Mapped: 'ה'
286| Character: ' ' | Code: 32 | Mapped: ' '
287| Character: '‰' | Code: 8240 | Mapped: 'ה'
288| Character: 'Ê' | Code: 202 | Mapped: 'ז'
289| Character: '‰' | Code: 8240 | Mapped: 'ה'
290| Character: ' ' | Code: 32 | Mapped: ' '
291| Character: 'Ì' | Code: 204 | Mapped: 'ם'
292| Character: 'Ï' | Code: 207 | Mapped: 'ל'
293| Character: 'Â' | Code: 194 | Mapped: 'ו'
--- Page 28 ---
1| Character: 'ç' | Code: 231 | Mapped: 'ח'
2| Character: 'ë' | Code: 235 | Mapped: 'כ'
3| Character: '\n' | Code: 10 | Mapped: '\n'
4| Character: 'é' | Code: 233 | Mapped: 'י'
5| Character: 'ð' | Code: 240 | Mapped: 'נ'
6| Character: 'â' | Code: 226 | Mapped: 'ג'
7| Character: 'ì' | Code: 236 | Mapped: 'ל'
8| Character: ' ' | Code: 32 | Mapped: ' '
9| Character: 'é' | Code: 233 | Mapped: 'י'
10| Character: 'ú' | Code: 250 | Mapped: 'ת'
11| Character: 'à' | Code: 224 | Mapped: 'א'
12| Character: 'á' | Code: 225 | Mapped: 'ב'
13| Character: '\n' | Code: 10 | Mapped: '\n'
14| Character: '‰' | Code: 8240 | Mapped: 'ה'
15| Character: 'Î' | Code: 206 | Mapped: 'כ'
16| Character: 'Â' | Code: 194 | Mapped: 'ו'
17| Character: 'Ó' | Code: 211 | Mapped: 'מ'
18| Character: 'Î' | Code: 206 | Mapped: 'כ'
19| Character: ' ' | Code: 32 | Mapped: ' '
20| Character: 'È' | Code: 200 | Mapped: 'י'
21| Character: 'Ó' | Code: 211 | Mapped: 'מ'
22| Character: ' ' | Code: 32 | Mapped: ' '
23| Character: '‰' | Code: 8240 | Mapped: 'ה'
24| Character: '"' | Code: 34 | Mapped: '"'
25| Character: '„' | Code: 8222 | Mapped: 'ד'
26| Character: '·' | Code: 183 | Mapped: 'ב'
27| Character: ' ' | Code: 32 | Mapped: ' '
28| Character: '˘' | Code: 728 | Mapped: 'ש'
29| Character: '"' | Code: 34 | Mapped: '"'
30| Character: '¯' | Code: 175 | Mapped: 'ר'
31| Character: '‰' | Code: 8240 | Mapped: 'ה'
32| Character: 'Ó' | Code: 211 | Mapped: 'מ'
33| Character: ' ' | Code: 32 | Mapped: ' '
34| Character: '¯' | Code: 175 | Mapped: 'ר'
35| Character: '"' | Code: 34 | Mapped: '"'
36| Character: 'Â' | Code: 194 | Mapped: 'ו'
37| Character: 'Ó' | Code: 211 | Mapped: 'מ'
38| Character: '„' | Code: 8222 | Mapped: 'ד'
39| Character: '‡' | Code: 8225 | Mapped: 'א'
40| Character: '\n' | Code: 10 | Mapped: '\n'
41| Character: '5' | Code: 53 | Mapped: '5'
42| Character: '6' | Code: 54 | Mapped: '6'
43| Character: '\n' | Code: 10 | Mapped: '\n'
44| Character: 'Ì' | Code: 204 | Mapped: 'ם'
45| Character: '\uf8ff' | Code: 63743 | Mapped: 'נ'
46| Character: 'È' | Code: 200 | Mapped: 'י'
47| Character: '‡' | Code: 8225 | Mapped: 'א'
48| Character: ' ' | Code: 32 | Mapped: ' '
49| Character: '‰' | Code: 8240 | Mapped: 'ה'
50| Character: 'Ê' | Code: 202 | Mapped: 'ז'
51| Character: '‰' | Code: 8240 | Mapped: 'ה'
52| Character: ' ' | Code: 32 | Mapped: ' '
53| Character: 'Ì' | Code: 204 | Mapped: 'ם'
54| Character: 'Ï' | Code: 207 | Mapped: 'ל'
55| Character: 'Â' | Code: 194 | Mapped: 'ו'
56| Character: 'Ú' | Code: 218 | Mapped: 'ע'
57| Character: '·' | Code: 183 | Mapped: 'ב'
58| Character: '˘' | Code: 728 | Mapped: 'ש'
59| Character: ' ' | Code: 32 | Mapped: ' '
60| Character: 'Ì' | Code: 204 | Mapped: 'ם'
61| Character: 'È' | Code: 200 | Mapped: 'י'
62| Character: '\uf8ff' | Code: 63743 | Mapped: 'נ'
63| Character: 'È' | Code: 200 | Mapped: 'י'
64| Character: '\uf8ff' | Code: 63743 | Mapped: 'נ'
65| Character: 'Ú' | Code: 218 | Mapped: 'ע'
66| Character: '‰' | Code: 8240 | Mapped: 'ה'
67| Character: ' ' | Code: 32 | Mapped: ' '
68| Character: 'Ï' | Code: 207 | Mapped: 'ל'
69| Character: 'Î' | Code: 206 | Mapped: 'כ'
70| Character: '˘' | Code: 728 | Mapped: 'ש'
71| Character: ' ' | Code: 32 | Mapped: ' '
72| Character: ',' | Code: 44 | Mapped: ','
73| Character: '\n' | Code: 10 | Mapped: '\n'
74| Character: '˘' | Code: 728 | Mapped: 'ש'
75| Character: '"' | Code: 34 | Mapped: '"'
76| Character: 'Ó' | Code: 211 | Mapped: 'מ'
77| Character: 'Î' | Code: 206 | Mapped: 'כ'
78| Character: ' ' | Code: 32 | Mapped: ' '
79| Character: ',' | Code: 44 | Mapped: ','
80| Character: '˙' | Code: 729 | Mapped: 'ת'
81| Character: 'È' | Code: 200 | Mapped: 'י'
82| Character: '˙' | Code: 729 | Mapped: 'ת'
83| Character: 'È' | Code: 200 | Mapped: 'י'
84| Character: 'Ó' | Code: 211 | Mapped: 'מ'
85| Character: '‡' | Code: 8225 | Mapped: 'א'
86| Character: ' ' | Code: 32 | Mapped: ' '
87| Character: '˙' | Code: 729 | Mapped: 'ת'
88| Character: 'Â' | Code: 194 | Mapped: 'ו'
89| Character: '‡' | Code: 8225 | Mapped: 'א'
90| Character: 'È' | Code: 200 | Mapped: 'י'
91| Character: 'ˆ' | Code: 710 | Mapped: 'צ'
92| Character: 'Ó' | Code: 211 | Mapped: 'מ'
93| Character: ' ' | Code: 32 | Mapped: ' '
94| Character: 'Ì' | Code: 204 | Mapped: 'ם'
95| Character: '‰' | Code: 8240 | Mapped: 'ה'
96| Character: ' ' | Code: 32 | Mapped: ' '
97| Character: '‡' | Code: 8225 | Mapped: 'א'
98| Character: 'Ï' | Code: 207 | Mapped: 'ל'
99| Character: '‡' | Code: 8225 | Mapped: 'א'
100| Character: ' ' | Code: 32 | Mapped: ' '
101| Character: ',' | Code: 44 | Mapped: ','
102| Character: 'Â' | Code: 194 | Mapped: 'ו'
103| Character: '"' | Code: 34 | Mapped: '"'
104| Character: 'Á' | Code: 193 | Mapped: 'ח'
105| Character: ' ' | Code: 32 | Mapped: ' '
106| Character: 'Ì' | Code: 204 | Mapped: 'ם'
107| Character: 'È' | Code: 200 | Mapped: 'י'
108| Character: '\uf8ff' | Code: 63743 | Mapped: 'נ'
109| Character: 'È' | Code: 200 | Mapped: 'י'
110| Character: 'Ú' | Code: 218 | Mapped: 'ע'
111| Character: ' ' | Code: 32 | Mapped: ' '
112| Character: '˙' | Code: 729 | Mapped: 'ת'
113| Character: 'Ê' | Code: 202 | Mapped: 'ז'
114| Character: 'È' | Code: 200 | Mapped: 'י'
115| Character: 'Á' | Code: 193 | Mapped: 'ח'
116| Character: '‡' | Code: 8225 | Mapped: 'א'
117| Character: '\n' | Code: 10 | Mapped: '\n'
118| Character: '5' | Code: 53 | Mapped: '5'
119| Character: '7' | Code: 55 | Mapped: '7'
120| Character: '\n' | Code: 10 | Mapped: '\n'
121| Character: '‡' | Code: 8225 | Mapped: 'א'
122| Character: '¯' | Code: 175 | Mapped: 'ר'
123| Character: '·' | Code: 183 | Mapped: 'ב'
124| Character: ' ' | Code: 32 | Mapped: ' '
125| Character: '˙' | Code: 729 | Mapped: 'ת'
126| Character: 'È' | Code: 200 | Mapped: 'י'
127| Character: '˘' | Code: 728 | Mapped: 'ש'
128| Character: '‡' | Code: 8225 | Mapped: 'א'
129| Character: '¯' | Code: 175 | Mapped: 'ר'
130| Character: '·' | Code: 183 | Mapped: 'ב'
131| Character: ' ' | Code: 32 | Mapped: ' '
132| Character: '\n' | Code: 10 | Mapped: '\n'
133| Character: ' ' | Code: 32 | Mapped: ' '
134| Character: 'Ì' | Code: 204 | Mapped: 'ם'
135| Character: 'È' | Code: 200 | Mapped: 'י'
136| Character: '˜' | Code: 732 | Mapped: 'ק'
137| Character: 'Ï' | Code: 207 | Mapped: 'ל'
138| Character: '‡' | Code: 8225 | Mapped: 'א'
139| Character: '\n' | Code: 10 | Mapped: '\n'
140| Character: "'" | Code: 39 | Mapped: "'"
141| Character: 'È' | Code: 200 | Mapped: 'י'
142| Character: '‰' | Code: 8240 | Mapped: 'ה'
143| Character: '˙' | Code: 729 | Mapped: 'ת'
144| Character: '˘' | Code: 728 | Mapped: 'ש'
145| Character: ' ' | Code: 32 | Mapped: ' '
146| Character: '¯' | Code: 175 | Mapped: 'ר'
147| Character: '˘' | Code: 728 | Mapped: 'ש'
148| Character: 'Ù' | Code: 217 | Mapped: 'פ'
149| Character: '‡' | Code: 8225 | Mapped: 'א'
150| Character: ' ' | Code: 32 | Mapped: ' '
151| Character: 'Ì' | Code: 204 | Mapped: 'ם'
152| Character: 'È' | Code: 200 | Mapped: 'י'
153| Character: 'Ó' | Code: 211 | Mapped: 'מ'
154| Character: 'Â' | Code: 194 | Mapped: 'ו'
155| Character: 'ˆ' | Code: 710 | Mapped: 'צ'
156| Character: 'Ó' | Code: 211 | Mapped: 'מ'
157| Character: 'ˆ' | Code: 710 | Mapped: 'צ'
158| Character: '‰' | Code: 8240 | Mapped: 'ה'
159| Character: ' ' | Code: 32 | Mapped: ' '
160| Character: '„' | Code: 8222 | Mapped: 'ד'
161| Character: 'ˆ' | Code: 710 | Mapped: 'צ'
162| Character: 'Ó' | Code: 211 | Mapped: 'מ'
163| Character: '˘' | Code: 728 | Mapped: 'ש'
164| Character: ' ' | Code: 32 | Mapped: ' '
165| Character: ',' | Code: 44 | Mapped: ','
166| Character: 'Â' | Code: 194 | Mapped: 'ו'
167| Character: '\uf8ff' | Code: 63743 | Mapped: 'נ'
168| Character: 'È' | Code: 200 | Mapped: 'י'
169| Character: 'È' | Code: 200 | Mapped: 'י'
170| Character: '‰' | Code: 8240 | Mapped: 'ה'
171| Character: 'Â' | Code: 194 | Mapped: 'ו'
172| Character: ' ' | Code: 32 | Mapped: ' '
173| Character: '.' | Code: 46 | Mapped: '.'
174| Character: 'ı' | Code: 305 | Mapped: 'ץ'
175| Character: '¯' | Code: 175 | Mapped: 'ר'
176| Character: '‡' | Code: 8225 | Mapped: 'א'
177| Character: '‰' | Code: 8240 | Mapped: 'ה'
178| Character: ' ' | Code: 32 | Mapped: ' '
179| Character: '˙' | Code: 729 | Mapped: 'ת'
180| Character: '‡' | Code: 8225 | Mapped: 'א'
181| Character: 'Â' | Code: 194 | Mapped: 'ו'
182| Character: ' ' | Code: 32 | Mapped: ' '
183| Character: 'Ì' | Code: 204 | Mapped: 'ם'
184| Character: 'È' | Code: 200 | Mapped: 'י'
185| Character: 'Ó' | Code: 211 | Mapped: 'מ'
186| Character: '˘' | Code: 728 | Mapped: 'ש'
187| Character: '‰' | Code: 8240 | Mapped: 'ה'
188| Character: ' ' | Code: 32 | Mapped: ' '
189| Character: '˙' | Code: 729 | Mapped: 'ת'
190| Character: '‡' | Code: 8225 | Mapped: 'א'
191| Character: '\n' | Code: 10 | Mapped: '\n'
192| Character: 'Ì' | Code: 204 | Mapped: 'ם'
193| Character: 'Â' | Code: 194 | Mapped: 'ו'
194| Character: '˜' | Code: 732 | Mapped: 'ק'
195| Character: 'Ó' | Code: 211 | Mapped: 'מ'
196| Character: ' ' | Code: 32 | Mapped: ' '
197| Character: '˙' | Code: 729 | Mapped: 'ת'
198| Character: '\uf8ff' | Code: 63743 | Mapped: 'נ'
199| Character: 'È' | Code: 200 | Mapped: 'י'
200| Character: '˙' | Code: 729 | Mapped: 'ת'
201| Character: '\uf8ff' | Code: 63743 | Mapped: 'נ'
202| Character: '\n' | Code: 10 | Mapped: '\n'
203| Character: 'Ó' | Code: 211 | Mapped: 'מ'
204| Character: '˘' | Code: 728 | Mapped: 'ש'
205| Character: ' ' | Code: 32 | Mapped: ' '
